year,month,total_precip_mm,date
2000,6,69.9,2000-06-01
2000,7,106.1,2000-07-01
2000,8,70.2,2000-08-01
2000,9,96.4,2000-09-01
2000,10,173.1,2000-10-01
2000,11,133.8,2000-11-01
2000,12,204.8,2000-12-01
2001,1,98.2,2001-01-01
2001,2,90.1,2001-02-01
2001,3,103.8,2001-03-01
2001,4,110.2,2001-04-01
2001,5,184.7,2001-05-01
2001,6,98.4,2001-06-01
2001,7,87.9,2001-07-01
2001,8,78.3,2001-08-01
2001,9,43.0,2001-09-01
2001,10,87.5,2001-10-01
2001,11,84.0,2001-11-01
2001,12,87.4,2001-12-01
2002,1,145.3,2002-01-01
2002,2,139.9,2002-02-01
2002,3,177.1,2002-03-01
2002,4,171.3,2002-04-01
2002,5,92.4,2002-05-01
2002,6,99.2,2002-06-01
2002,7,59.4,2002-07-01
2002,8,52.4,2002-08-01
2002,9,118.4,2002-09-01
2002,10,150.5,2002-10-01
2002,11,214.0,2002-11-01
2002,12,122.2,2002-12-01
2003,1,88.0,2003-01-01
2003,2,163.9,2003-02-01
2003,3,189.6,2003-03-01
2003,4,117.9,2003-04-01
2003,5,69.4,2003-05-01
2003,6,142.0,2003-06-01
2003,7,31.8,2003-07-01
2003,8,128.2,2003-08-01
2003,9,120.2,2003-09-01
2003,10,121.8,2003-10-01
2003,11,77.1,2003-11-01
2003,12,96.7,2003-12-01
2004,1,36.0,2004-01-01
2004,2,130.1,2004-02-01
2004,3,87.0,2004-03-01
2004,4,113.4,2004-04-01
2004,5,82.2,2004-05-01
2004,6,56.4,2004-06-01
2004,7,74.1,2004-07-01
2004,8,125.0,2004-08-01
2004,9,61.0,2004-09-01
2004,10,127.4,2004-10-01
2004,11,165.4,2004-11-01
2004,12,75.8,2004-12-01
2005,1,88.9,2005-01-01
2005,2,47.7,2005-02-01
2005,3,136.8,2005-03-01
2005,4,91.0,2005-04-01
2005,5,274.5,2005-05-01
2005,6,67.8,2005-06-01
2005,7,52.4,2005-07-01
2005,8,53.9,2005-08-01
2005,9,119.5,2005-09-01
2005,10,267.1,2005-10-01
2005,11,107.8,2005-11-01
2005,12,130.2,2005-12-01
2006,1,93.9,2006-01-01
2006,2,95.6,2006-02-01
2006,3,38.8,2006-03-01
2006,4,75.2,2006-04-01
2006,5,93.5,2006-05-01
2006,6,242.8,2006-06-01
2006,7,181.4,2006-07-01
2006,8,63.2,2006-08-01
2006,9,28.0,2006-09-01
2006,10,158.3,2006-10-01
2006,11,92.6,2006-11-01
2006,12,102.9,2006-12-01
2007,1,137.1,2007-01-01
2007,2,24.9,2007-02-01
2007,3,34.5,2007-03-01
