COORDINATE,COUNTRY/PROVINCES,DGUID,GHG EMISSIONS,SECTOR,UOM,UOM_ID,VECTOR,Year
4.1,Nova Scotia,2021A000212,17280,"Total, industries and households",Kilotonnes,198,v1013973552,2018
4.1,Nova Scotia,2021A000212,18507,"Total, industries and households",Kilotonnes,198,v1013973552,2013
4.115,Nova Scotia,2021A000212,3776,"Total, households",Kilotonnes,198,v1013973664,2021
4.115,Nova Scotia,2021A000212,3851,"Total, households",Kilotonnes,198,v1013973664,2020
4.115,Nova Scotia,2021A000212,3873,"Total, households",Kilotonnes,198,v1013973664,2023
4.115,Nova Scotia,2021A000212,3913,"Total, households",Kilotonnes,198,v1013973664,2022
4.115,Nova Scotia,2021A000212,4204,"Total, households",Kilotonnes,198,v1013973664,2014
4.115,Nova Scotia,2021A000212,4419,"Total, households",Kilotonnes,198,v1013973664,2016
4.115,Nova Scotia,2021A000212,4533,"Total, households",Kilotonnes,198,v1013973664,2013
4.115,Nova Scotia,2021A000212,4567,"Total, households",Kilotonnes,198,v1013973664,2017
4.115,Nova Scotia,2021A000212,4600,"Total, households",Kilotonnes,198,v1013973664,2019
4.115,Nova Scotia,2021A000212,4707,"Total, households",Kilotonnes,198,v1013973664,2015
4.115,Nova Scotia,2021A000212,4716,"Total, households",Kilotonnes,198,v1013973664,2018
4.118,Nova Scotia,2021A000212,13539,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2023
4.118,Nova Scotia,2021A000212,14245,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2021
4.118,Nova Scotia,2021A000212,14292,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2022
4.118,Nova Scotia,2021A000212,14393,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2020
4.118,Nova Scotia,2021A000212,15579,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2016
4.118,Nova Scotia,2021A000212,15783,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2019
4.118,Nova Scotia,2021A000212,15886,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2017
4.118,Nova Scotia,2021A000212,16126,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2014
4.118,Nova Scotia,2021A000212,16310,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2015
4.118,Nova Scotia,2021A000212,16543,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2018
4.118,Nova Scotia,2021A000212,18041,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973667,2013
4.119,Nova Scotia,2021A000212,-968,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2014
4.119,Nova Scotia,2021A000212,-820,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2017
4.119,Nova Scotia,2021A000212,-781,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2016
4.119,Nova Scotia,2021A000212,-742,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2015
