REF_DATE,GEO,DGUID,Sector,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
2018,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
2019,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
2020,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
2021,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
2022,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
2023,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
2013,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,56,,,,0
2014,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,23,,,,0
2015,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,76,,,,0
2016,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,82,,,,0
2017,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,53,,,,0
2018,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,32,,,,0
2019,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,26,,,,0
2020,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,20,,,,0
2021,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,20,,,,0
2022,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,25,,,,0
2023,Manitoba,2021A000246,Furniture and related product manufacturing [BS33700],Kilotonnes,198,units,0,v1013974113,8.64,26,,,,0
2013,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,13,,,,0
2014,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,11,,,,0
2015,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,16,,,,0
2016,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,16,,,,0
2017,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,23,,,,0
2018,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,19,,,,0
2019,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,19,,,,0
2020,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,20,,,,0
2021,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,23,,,,0
2022,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,17,,,,0
2023,Manitoba,2021A000246,Miscellaneous manufacturing [BS33900],Kilotonnes,198,units,0,v1013974114,8.65,18,,,,0
2013,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,267,,,,0
2014,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,281,,,,0
2015,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,213,,,,0
2016,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,267,,,,0
2017,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,317,,,,0
2018,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,330,,,,0
