station_id,Month,Day,Baseline Mean Temp (°C)
8202502,10,30,6.608
8202502,10,31,7.123076923076923
8202502,11,1,8.315384615384614
8202502,11,2,6.926923076923076
8202502,11,3,6.343999999999999
8202502,11,4,5.436
8202502,11,5,5.496
8202502,11,6,7.584
8202502,11,7,6.951999999999999
8202502,11,8,5.247999999999999
8202502,11,9,5.05
8202502,11,10,5.787999999999999
8202502,11,11,6.272
8202502,11,12,5.184
8202502,11,13,4.952
8202502,11,14,4.868
8202502,11,15,5.524
8202502,11,16,5.468
8202502,11,17,4.964
8202502,11,18,4.5680000000000005
8202502,11,19,3.9760000000000004
8202502,11,20,3.980769230769231
8202502,11,21,3.1846153846153844
8202502,11,22,3.207692307692308
8202502,11,23,3.661538461538462
8202502,11,24,2.330769230769231
8202502,11,25,3.5576923076923075
8202502,11,26,3.2423076923076923
8202502,11,27,4.372
8202502,11,28,2.8360000000000003
8202502,11,29,2.392
8202502,11,30,1.8173913043478263
8202502,12,1,3.536
8202502,12,2,2.3120000000000003
8202502,12,3,1.8333333333333333
8202502,12,4,0.7999999999999999
8202502,12,5,-0.2416666666666666
8202502,12,6,0.78
8202502,12,7,0.48
8202502,12,8,-0.596153846153846
8202502,12,9,-1.1192307692307693
8202502,12,10,-0.08846153846153856
8202502,12,11,0.8192307692307691
8202502,12,12,0.6307692307692305
8202502,12,13,-0.10400000000000008
8202502,12,14,-0.45384615384615373
8202502,12,15,-0.003846153846153935
8202502,12,16,-0.6576923076923076
8202502,12,17,-0.4307692307692308
8202502,12,18,0.7115384615384616
8202502,12,19,-0.8499999999999999
8202502,12,20,-1.0038461538461538
8202502,12,21,-0.8
8202502,12,22,-0.676923076923077
8202502,12,23,-0.9846153846153847
8202502,12,24,-0.08076923076923072
8202502,12,25,0.04615384615384618
8202502,12,26,-1.0730769230769233
8202502,12,27,-1.396153846153846
8202502,12,28,-1.426923076923077
8202502,12,29,-1.1192307692307693
8202502,12,30,-1.2919999999999998
8202502,12,31,-2.076
8202592,1,1,-3.313333333333333
8202592,1,2,-3.8366666666666664
8202592,1,3,-4.256666666666667
8202592,1,4,-2.9586206896551723
8202592,1,5,-3.682142857142857
8202592,1,6,-4.625
8202592,1,7,-3.746153846153846
8202592,1,8,-4.517857142857143
8202592,1,9,-3.2482758620689656
