Climate ID,Date,Monthly_Max_Gust_kmh,Monthly_Mean_Gust_Direction_10sdeg
8100885,2024-12-01,70.0,24.63
8100885,2025-01-01,64.0,27.17
8100885,2025-02-01,76.0,25.58
8100885,2025-03-01,62.0,22.37
8100885,2025-04-01,80.0,21.8
8100885,2025-05-01,55.0,16.55
8100885,2025-06-01,54.0,25.21
8100885,2025-07-01,59.0,27.42
8100885,2025-08-01,46.0,25.73
8100885,2025-09-01,54.0,29.23
8100885,2025-10-01,62.0,22.88
8100885,2025-11-01,58.0,25.92
8100885,2025-12-01,87.0,25.77
8100989,2007-08-01,76.0,24.92
8100989,2007-09-01,67.0,24.91
8100989,2007-10-01,57.0,23.3
8100989,2007-11-01,67.0,21.73
8100989,2007-12-01,83.0,21.89
8100989,2008-01-01,69.0,24.24
8100989,2008-02-01,61.0,18.31
8100989,2008-03-01,72.0,19.48
8100989,2008-04-01,70.0,17.11
8100989,2008-05-01,57.0,16.61
8100989,2008-06-01,48.0,18.57
8100989,2008-07-01,59.0,22.47
8100989,2008-08-01,48.0,18.08
8100989,2008-09-01,59.0,20.38
8100989,2008-10-01,65.0,20.92
8100989,2008-11-01,72.0,23.5
8100989,2008-12-01,85.0,22.0
8100989,2009-01-01,72.0,20.59
8100989,2009-02-01,80.0,18.11
8100989,2009-03-01,59.0,17.9
8100989,2009-04-01,59.0,21.48
8100989,2009-05-01,82.0,21.21
8100989,2009-06-01,56.0,18.45
8100989,2009-07-01,50.0,18.38
8100989,2009-08-01,74.0,21.78
8100989,2009-09-01,44.0,20.47
8100989,2009-10-01,70.0,17.83
8100989,2009-11-01,61.0,24.57
8100989,2009-12-01,61.0,22.0
8100989,2010-01-01,98.0,22.9
8100989,2010-02-01,65.0,22.57
8100989,2010-03-01,54.0,16.69
8100989,2010-04-01,59.0,16.45
8100989,2010-05-01,57.0,22.33
8100989,2010-06-01,56.0,22.94
8100989,2010-07-01,54.0,21.0
8100989,2010-08-01,50.0,19.69
8100989,2010-09-01,50.0,17.88
8100989,2010-10-01,74.0,23.2
8100989,2010-11-01,57.0,15.57
8100989,2010-12-01,82.0,13.59
8100989,2011-01-01,61.0,21.56
8100989,2011-02-01,54.0,23.86
8100989,2011-03-01,54.0,20.95
8100989,2011-04-01,61.0,21.08
8100989,2011-05-01,59.0,12.48
8100989,2011-06-01,56.0,10.64
8100989,2011-07-01,54.0,22.61
8100989,2011-08-01,76.0,19.61
8100989,2011-09-01,52.0,24.2
8100989,2011-10-01,59.0,21.06
8100989,2011-11-01,52.0,24.86
8100989,2011-12-01,67.0,23.94
8100989,2012-01-01,69.0,22.67
8100989,2012-02-01,69.0,24.47
8100989,2012-03-01,61.0,22.05
8100989,2012-04-01,61.0,17.37
8100989,2012-05-01,56.0,18.72
8100989,2012-06-01,52.0,14.79
8100989,2012-07-01,48.0,25.5
8100989,2012-08-01,61.0,21.08
8100989,2012-09-01,61.0,19.86
8100989,2012-10-01,59.0,20.39
8100989,2012-11-01,56.0,20.86
8100989,2012-12-01,69.0,21.25
8100989,2013-01-01,83.0,26.76
8100989,2013-02-01,65.0,19.19
8100989,2013-03-01,54.0,13.86
8100989,2013-04-01,61.0,19.86
8100989,2013-05-01,56.0,15.11
8100989,2013-06-01,65.0,18.04
8100989,2013-07-01,54.0,20.06
8100989,2013-08-01,57.0,21.65
8100989,2013-09-01,50.0,20.79
8100989,2013-10-01,57.0,22.56
8100989,2013-11-01,65.0,25.11
8100989,2013-12-01,61.0,25.18
8100989,2014-01-01,63.0,24.86
8100989,2014-02-01,69.0,21.11
8100989,2014-03-01,67.0,19.09
8100989,2014-04-01,72.0,15.56
