NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
80901,BRATT'S LAKE,BRATT'S LAKE,SASKATCHEWAN,SK,50.20081,-104.71072,1,1998-05-05,
81001,SWIFT CURRENT,SWIFT CURRENT,SASKATCHEWAN,SK,50.285833,-107.81689,1,2009-01-01,
82001,PINEHOUSE LAKE,PINEHOUSE LAKE,SASKATCHEWAN,SK,55.50333,-106.72167,1,2016-01-01,
82002,BUFFALO NARROWS,BUFFALO NARROWS,SASKATCHEWAN,SK,55.834566,-108.403332,1,2017-01-01,
82101,FLAT VALLEY,FLAT VALLEY,SASKATCHEWAN,SK,54.29489,-109.20947,1,2016-02-11,
90120,EDMONTON - SOUTH,EDMONTON,ALBERTA,AB,53.50022,-113.526056,0,2005-09-21,2021-12-31
90121,EDMONTON - EAST,EDMONTON,ALBERTA,AB,53.54823,-113.36811,1,1974-01-01,
90130,EDMONTON - CENTRAL,EDMONTON,ALBERTA,AB,53.54445,-113.49884,0,1976-12-03,2020-12-31
90132,EDMONTON - MCINTYRE,EDMONTON,ALBERTA,AB,53.486,-113.4646,1,2006-09-26,
90133,EDMONTON - WOODCROFT,EDMONTON,ALBERTA,AB,53.564411,-113.562583,1,2014-01-01,
90134,SHERWOOD PARK,SHERWOOD PARK,ALBERTA,AB,53.532092,-113.320983,1,2015-05-01,
90135,ARDROSSAN,ARDROSSAN,ALBERTA,AB,53.554691,-113.144905,1,2015-06-01,
90136,ST. ALBERT,ST. ALBERT,ALBERTA,AB,53.626908,-113.611883,1,2016-04-06,
90140,EDMONTON - MCCAULEY,EDMONTON,ALBERTA,AB,53.5495,-113.4859,1,2020-01-01,
90141,EDMONTON-LENDRUM,EDMONTON,ALBERTA,AB,53.4978,-113.527,1,2021-12-01,
90222,CALGARY - NORTHWEST,CALGARY,ALBERTA,AB,51.079222,-114.141828,0,1974-07-10,2018-05-29
90228,CALGARY - CENTRAL - 2,CALGARY,ALBERTA,AB,51.04701,-114.07564,0,2008-01-01,2015-03-30
90229,CALGARY - SOUTHEAST,CALGARY,ALBERTA,AB,50.955122,-113.969742,1,2014-04-10,
90230,CALGARY - CENTRAL - INGLEWOOD,CALGARY,ALBERTA,AB,51.0309,-114.0091,1,2015-04-06,
90235,CALGARY - VARSITY,CALGARY,ALBERTA,AB,51.082655,-114.138827,1,2018-06-01,
90250,AIRDRIE,AIRDRIE,ALBERTA,AB,51.26807778,-114.0377944,1,2017-04-01,
90302,RED DEER - RIVERSIDE,RED DEER,ALBERTA,AB,52.29867,-113.79352,1,2000-01-01,
90304,RED DEER - LANCASTER,RED DEER,ALBERTA,AB,52.24095,-113.765439,1,2015-01-01,
90402,MEDICINE HAT - CRESCENT HEIGHTS,MEDICINE HAT,ALBERTA,AB,50.04893,-110.68116,1,2004-01-01,
90451,BROOKS - MEADOWPLACE,BROOKS,ALBERTA,AB,50.558969,-111.863769,1,2024-08-01,
90502,LETHBRIDGE,LETHBRIDGE,ALBERTA,AB,49.71621,-112.8006,1,2003-10-01,
90601,FORT SASKATCHEWAN,FORT SASKATCHEWAN,ALBERTA,AB,53.69874,-113.22285,1,1986-07-01,
90602,RANGE RD. 220,FORT SASKATCHEWAN,ALBERTA,AB,53.75236,-113.12589,1,2004-01-01,
90603,ROSS CREEK,FORT SASKATCHEWAN,ALBERTA,AB,53.71622,-113.19994,1,2004-01-01,
90606,BRUDERHEIM,BRUDERHEIM,ALBERTA,AB,53.7999878,-112.92781,0,2010-04-07,2016-02-29
90607,GIBBONS,GIBBONS,ALBERTA,AB,53.827241,-113.327174,1,2016-02-03,
90608,REDWATER,REDWATER,ALBERTA,AB,53.95183,-113.105857,1,2017-10-18,
90609,BRUDERHEIM - 1,BRUDERHEIM,ALBERTA,AB,53.805629,-112.925851,1,2016-04-01,
90701,FORT MCMURRAY - ATHABASCA VALLEY,FORT MCMURRAY,ALBERTA,AB,56.73341,-111.39047,1,1986-07-01,
90702,FORT MCMURRAY - PATRICIA MCINNES,FORT MCMURRAY,ALBERTA,AB,56.75139,-111.47662,1,1999-01-01,
90703,MILLENNIUM MINE,FORT MCMURRAY,ALBERTA,AB,56.969267,-111.40065,0,2005-01-01,2015-08-28
90801,FORT MCKAY - BERTHA GANTER,FORT MCKAY,ALBERTA,AB,57.18941,-111.6405,1,1991-01-01,
90802,LOWER CAMP,FORT MCKAY,ALBERTA,AB,57.02681,-111.5007,1,2004-01-01,
90803,MILDRED LAKE,FORT MCKAY,ALBERTA,AB,57.05,-111.56444,0,2001-01-01,2015-12-31
90804,MANNIX,FORT MCKAY,ALBERTA,AB,56.96791,-111.4824,1,2001-01-01,
